document_id,clean_text,sentiment
78,bbreonna taylor protest covid vaccine amp cdc data hhs hospital data crackdown httpstcov6djgbcyhf npr breonnataylor breonnataylorprotests louisvilleprotests coronavirus covidvaccine cdc hospitaldata fascisttrump trumpadministration hospitalfunding youngpeople,negative
79,bhockeyskates3 homeoffree61 or never covidvaccine,negative
80,bwe one choice end nightmare imposed u coronavirus agendato resist mass the politicianscourtsclergymediacant help u it lie everyone take covidvaccine thing go back life le interference government,negative
81,bkeir_starmer confident vallance absolutely potential conflict interest covidvaccine,negative
82,bi take covidvaccine to honest im taking fluvaccine year untrusted administration probably sneak covid vaccine flu shot trumpliesamericansdie httpstcoihba48xwl6,negative
83,bus get million prepare covidvaccine distribution donaldtrump httpstcowsg6sdcsze,neutral
84,bquestion covidvaccine amp testing kid aspphysician asp_mirandas bogochisaac httpstco7v8k8mdzsj,neutral
85,bhow close coronavirus vaccine free read httpstcov3hb56j3eo via financialtimes coronavirus vaccine covid19 covidvaccine phrase3 aroundtheworld clinicaltrials,positve
86,bxf0x9fx9axa8newsflashxf0x9fx9axa8 cdcgov xe2x80x9centire american publicxe2x80x9d isnxe2x80x99t getting scamdemic vaccine itxe2x80x99s unconstitutional assume mask mandate unconstitutional get stop authoritarian bullshit covidiots covidvaccine httpstcov4tr4ya8hv,negative
87,bblack doctorsxe2x80x99 group form task force review virus vaccine httpstcobztklszpk6 covid19 covid africanamerican covidvaccine,positve
88,bthe meat industry seems exempt covid19 regulation must enforced ordinary people the shutdown normal economic activity community amp sporting life sacrifice made people corporate interest covidvaccine bigpharma httpstcozkp5efyy2b,negative
89,bquestion medtwitter anyone know covidvaccine tested kid andor approved kid,neutral
90,blandmark moment country agree covid vaccine allocation deal aiming deliver 2bn dos safe effective vaccine around world end who httpstcotlz4ahfp7l covax covidvaccine,positve
91,bif torygraph go must mileage one httpstcoa6vadfbsjb covidvaccine covid19 patrickvallance conflictofinterest,negative
92,bvaxart taking covid19 oral vaccine clinic httpstcon2kewgbhkw south san franciscobased firm vaxart developing oral vaccine xe2x80x93 administered tablet rather injection xe2x80x93 covid19 vaxart who vxrt coronavirus healthcare covidvaccine pharmanews httpstconb3wndakd7,positve
93,bthink i found alandershs newest repugnant criminal dream defendant latham levin arguing although might stabbed lover gt70 time could help design covidvaccine sickos httpstcob03djcdlgr,negative
94,bprime minister hun sen asked russian government provide cambodia covid19 vaccine becomes available according hun senxe2x80x99s facebook page covid19kh russia covidvaccine httpstco5pko6nmh7o,positve
95,bsecond wave anyone secondwave covidvaccine researchanddestroy httpstcoecbknurafm,negative
96,bjohnson amp johnson announces single shot phase iii trial on volunteer johnsonnjohnson covidvaccine covid19 pandemic vaccinetrials singleshot phase3 trump usadministration httpstcoa3bjudzqea,positve
97,bhttpstcobe5dwsszmn when poacher turn gamekeeper wouldnxe2x80x99t normally allowed keep spoil of course patrick valance retain xc2xa3600000 gsk share anyone claim professor impartial vested interest covidvaccine httpstco2q7avuyuba,negative
98,bzlj517 a year old civilization thought process year ahead time the proven fact exceptional handling covid china tethering defeat timely development covidvaccine decadewise wavering west,negative
99,bjnj covidvaccine whats value 1shot covidvaccine efficacyduration guaranteed inferior acknowledged 60k study design 2shot approach nvax bntx mrna,positve
100,bjohnson amp johnsonxe2x80x99s singleshot covid vaccine to be tested on people covidvaccine covidsingleshotvaccine coronavirus coronacases coviddeaths pandemic johnsonandjohnsonvaccine kanlishnews httpstco430jbcizby,positve
